query_id,AP,P@1,P@10,P@20,nDCG@20,source,query_length_words,relevant_passages,pool_size,query,length_bucket
0003fe44-ab91-4b28-afd7-ae0b4b39043f,0.006369426751592357,0.0,0.0,0.0,0.0,naturalqa,9,1,5,who does ben have a baby with in eastenders,6-10
000c77ba-2399-41ae-b0c6-c31dc9b6fa59,0.2,0.0,0.1,0.05,0.38685280723454163,naturalqa,11,1,5,who played violet in willy wonka and the chocolate factory 2005,11+
00367852-4217-48b1-9313-2c21ea592610,1.0,1.0,0.3,0.15,1.0,naturalqa,7,3,5,the sunken spanish treasure fleet (florida usa),6-10
003fd9ea-073f-4cd6-a742-4d32d4c6b968,0.16666666666666666,0.0,0.1,0.05,0.3065735963827292,naturalqa,8,2,5,who plays coby in packed to the rafters,6-10
004c15be-5a80-4261-a93e-5e92d5e96ac1,1.0,1.0,0.1,0.05,1.0,naturalqa,8,1,5,when did mac miller release best day ever,6-10
00524f4e-d3ab-49db-9a50-d0ba72c77882,0.3333333333333333,0.0,0.1,0.05,0.5,naturalqa,8,1,5,what is the wild card team at scotties,6-10
0055e39a-cde5-4c17-85c4-4538a4bfb01f,1.0,1.0,0.1,0.05,1.0,popqa,10,1,5,Who was the producer of Tarzan and the Great River?,6-10
00577db7-7b43-4364-b29e-ff4cb606c8ed,1.0,1.0,0.1,0.05,1.0,naturalqa,6,1,5,what is software asset management (sam),6-10
0066d36e-f0e8-4cbb-a302-4c4d0b0498f2,1.0,1.0,0.1,0.05,1.0,triviaqa,16,1,5,"Derived from the name of an ancient King of Pontus, what is the practice of Mithridatism?",11+
0066e289-2ead-48be-a6bc-f75f0d1ce85d,0.0020964360587002098,0.0,0.0,0.0,0.0,naturalqa,9,1,5,who played the female lead in the film pushpak,6-10
0078f48f-b72d-4b72-b386-cc4086c9e9ee,0.7,1.0,0.2,0.1,0.8503449055347546,naturalqa,10,2,5,who sings i feel love with the blue man group,6-10
00797510-92d0-4289-965d-8f69978bcdd0,0.5,0.0,0.1,0.05,0.6309297535714575,triviaqa,11,1,5,Historical figure Robin Hood is associated with which shade of green?,11+
007dc247-272e-475c-96c2-5479c1df1d95,0.0,0.0,0.0,0.0,0.0,naturalqa,9,1,5,who is the director of lord of the rings,6-10
0083a85a-6c8e-41ab-9bad-0bffb78e75ab,0.0,0.0,0.0,0.0,0.0,naturalqa,8,1,5,who wrote like a fox on the run,6-10
0085a069-c8c1-4a78-9074-0f17d2073f9c,0.0,0.0,0.0,0.0,0.0,popqa,6,1,5,Who was the director of Home?,6-10
008fd8b4-b967-4dcf-8653-7ff87134a99e,0.2,0.0,0.1,0.05,0.38685280723454163,naturalqa,8,1,5,tree in a bud appearance in ct scan,6-10
0094491c-79a7-49b4-a2f2-fe4d9f9981c8,0.5,0.0,0.1,0.05,0.6309297535714575,naturalqa,8,1,5,who said aint nobody got time for that,6-10
0094a9d1-99e6-442c-bd8f-25d4f13c587f,0.5,0.0,0.1,0.05,0.6309297535714575,naturalqa,8,1,5,when did series 2 ve commodore come out,6-10
00a596f6-8823-48d1-9dc5-4364118bbbe0,0.0010799136069114472,0.0,0.0,0.0,0.0,popqa,8,1,5,Who was the director of The Turning Point?,6-10
00a8cc56-8d6d-4b72-a1e2-25bd986b8fbc,0.3333333333333333,0.0,0.1,0.05,0.5,naturalqa,9,1,5,actor who played william beech in goodnight mr tom,6-10
