query_id,source,query,query_length_words,relevant_passages,AP,nDCG@20,top1_doc_id,doc_name,top1_score,top1_text_snippet
4c371d64-def0-4cf3-b08e-3fbf3b823aea,naturalqa,who sings zoom zoom zoom and a boom boom,9,1,0.0,0.0,mirage-24f0204665870c48,Hunter Zolomon,55.685348795437,"Hunter then forces Wally to repeatedly experience their first fight in which Linda was severely injured, feeling that West should be made to focus on feelings of sorrow and loss to become a better hero. However, Barry arrives on his own cosmic treadmill in search of Thawne. Barry"
e41a08f4-3652-4549-90b0-1e8fe83230fd,naturalqa,a sound of thunder what is the sound of thunder at the end of the story,16,1,0.0,0.0,mirage-e380ef9089d47b1d,Sound of Thunder,41.659515857726,"Sound of Thunder or A Sound of Thunder may refer to:
Topics referred to by the same term
&lt;templatestyles src=""Dmbox/styles.css"" /&gt;
 This page lists associated with the title ."
018a5779-9152-4555-909c-4d7a12421ba0,naturalqa,who sang i was kaiser bill's batman,7,1,0.0,0.0,mirage-e6ccc052192dcd2a,I Was Kaiser Bill's Batman (album),38.781597286493,"I Was Kaiser Bill's Batman with Pat Boone Whistling Plus Nine Vocal Performances is a studio album by Pat Boone, released in 1967 on Dot Records. ""Billboard"" picked the album for its ""Spotlight"" section. References. &lt;templatestyles src=""Reflist/styles.css"" /&gt;"
580b7c99-a101-4b17-849e-c394c6f24702,naturalqa,who has won the chennai open atp men's singles,9,1,0.0,0.0,mirage-f1fd4aff3dd81e99,2018 Tata Open Maharashtra,38.127454310777,"Tennis tournament
The 2018 Tata Open Maharashtra was a men's tennis tournament played on outdoor hard courts that was part of the World Tour 250 series of the 2018 ATP World Tour. It was the 23rd edition of the only ATP tournament played in India and took place in Pune, India, fr"
eaccc6ae-2b34-43a5-b699-1206f47ea8b8,naturalqa,who sings the wow wow wubbzy theme song,8,1,0.0,0.0,mirage-262f53071ef468cc,Ain't Thinkin' 'Bout You,36.96392732161,"""Ain't Thinkin' 'Bout You"" is a song by rapper Bow Wow featuring Chris Brown. An early version originally appeared on Brown's collaborative mixtape with Tyga, ""Fan of a Fan"". Music video. Synopsis. The music video premiered on October 30, 2010, via World Star Hip Hop. The video b"
2f3ebdc0-8c47-45e3-9160-2baa8e36e855,naturalqa,where is agatha christie ordeal by innocence filmed,8,1,0.0,0.0,mirage-34a4a82d0c703ade,Ordeal by Innocence (TV series),33.405096922392,"TV series
Ordeal by Innocence (titled on-screen as Agatha Christie's Ordeal by Innocence) is a three-part television drama series that was first broadcast in April 2018 on BBC One. It is based on the Agatha Christie novel of the same name and is the third English-language filmed "
65a1bf0f-c3d1-4df3-b883-db05e18f529d,naturalqa,who sang i've got the key i've got the secret,10,1,0.0,0.0,mirage-8cae12bc84d8c579,I've Got You Under My Skin (disambiguation),31.818366387878,"""I've Got You Under My Skin"" is a song by Cole Porter. I've Got You Under My Skin may also refer to:
See also. Topics referred to by the same term
&lt;templatestyles src=""Dmbox/styles.css"" /&gt;
 This page lists associated with the title ."
eae71e9f-3ffd-4197-90d4-dabad7731e5c,naturalqa,where did my ding a ling come from,8,1,0.0,0.0,mirage-3c95dbec1411c9b8,Ding Ling,31.119168370708,"Chinese writer (1904–1986)
Ding Ling (; October 12, 1904 – March 4, 1986), formerly romanized as Ting Ling, was the pen name of Jiang Bingzhi (), also known as Bin Zhi (彬芷 ""Bīn Zhǐ""), one of the most celebrated Chinese women authors of the 20th century. She is known for her femin"
9ddc6e83-6283-48b6-925b-6f61a858678d,naturalqa,a word where q is not followed by u,9,1,0.0,0.0,mirage-54fd19d096ee29b2,List of English words containing Q not followed by U,30.662886256878,"&lt;onlyinclude&gt;
Unless noted otherwise, all words listed here are assumed to be pluralized by adding ""-s"" or ""-es"". References in the ""Sources"" column relate to the headword in column one; variant spellings are then separately referenced. The sources given are selective, and "
5040697a-39b6-454f-9439-1b1b4f27de4b,naturalqa,who sings sometimes you're the windshield sometimes you're the bug,10,1,0.0,0.0,mirage-6931b830485774a6,Not Over You,28.708811766824,"&lt;templatestyles src=""Template:Quote_box/styles.css"" /&gt;
""You create this scenario - you see them in your dreams and if you bumped into them, you would let them know that you're doing fine and you're past the breakup - but you'd be lying."" —Gavin DeGraw told AOL Music about t"
